Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,2435,253.08,39.37,4.98,13.26,0.56,9.42,0.76,0.46,15,0.02,0.09,2.87,29.05,16.71,10.4,3.57,1.42,0.53,1.2,126.39,104.91,744.67,12.68
1,2436,62.75,15.69,0.56,1.26,2.53,26.25,3.75,0,159.38,0.02,0.03,0.77,0,44.62,35.12,1.45,0.34,0.14,3.02,291.56,24.12,15.11,0.79
1,2437,461.33,46.18,29.5,7.57,5.23,2.5,0.5,21.6,15,0.08,0.07,0.52,0,66.17,30,1.42,1.11,0.59,1.75,193.17,148,3.87,2.44
1,2438,154.14,9.64,6.8,14.1,0.54,45.71,69.43,0.7,68.57,0.05,0.09,4.26,75.71,20.71,12.71,1.34,1.21,0.07,0.11,286.43,118,45.56,8.62
1,2439,149.6,1.74,7.45,19.11,0.28,5.99,0.15,0.63,7.8,0.44,0.12,4.93,51.69,28.44,7.32,1.55,2.18,0.16,0.1,305.73,174.36,484.48,5.01
1,2440,167.04,31.74,2.31,5.56,0.79,7.5,10.28,0.68,46.17,0.02,0.05,1.21,0,15.29,22.75,2.26,0.44,0.26,0.72,131.78,57.49,331.84,2.09
1,2441,247.06,2.25,20.21,14.46,0.39,48.36,0.37,0.34,3.45,0.07,0.21,3.88,86.4,13.87,8.16,2.08,1.25,0.21,0.16,183.62,113.35,296.21,11.35
1,2442,346,72.4,0.9,12.7,0.6,0,0,0.7,0,0,0.08,2.6,0,12,8,5.1,0.69,0.52,1.75,49,106,21.5,4.6
1,2443,244.82,63.15,1.61,8.27,13.89,6.51,29.7,1.61,39.16,0.26,0.15,2.75,0,69.05,175.92,7.17,2.68,0.49,2.38,242.61,206.93,1453.98,3.46
1,2444,317,75.2,1.3,11.9,10.8,0,0,1.82,0,0.4,0.1,4,0,4,34,5.1,2.33,0.43,3.1,289,325,6.8,4.05
1,2445,201.71,68.06,3.06,5.04,29.64,19.43,19.79,2.99,116.71,0.05,0.38,1.21,0,245.79,555.93,15.81,4.13,0.92,1.38,105.71,46.07,105.1,4.07
1,2446,252.38,62.07,0.06,1.97,1.05,0,11.08,0,0,0.02,0.04,0.43,0,27.23,15.62,1.15,0.39,0.16,0.22,314.23,37.54,5.16,0.12
1,2447,159.5,44.65,1,4.65,11.7,48,5.5,3.37,289,0.01,0.24,1.45,0,78.5,54.5,5.35,0.67,0.48,1.97,240.5,55,17.95,2.48
1,2448,119,1.1,5.3,16.6,0,13,4,0.74,0,0.19,0.48,6.8,151,17,12,4.3,1.9,0.37,0.05,260,189,71.2,14.94
1,2449,108.89,11.97,3.31,15.25,7.46,16.11,0.12,0.71,7.16,0.04,0.1,2.26,114.04,38.67,71.11,2.14,1.76,0.11,0.19,262.86,173.6,381.43,13.04
1,2450,266.06,57.97,0.65,8.1,1.05,14.55,88.36,0.71,87.27,0.02,0.08,1.91,0,16.42,13.03,3.53,0.97,0.34,1.18,166.12,72.7,13.53,3.09
1,2451,52.41,8.14,1.57,1.82,0.39,83.03,4.35,0.27,432.04,0.03,0.09,0.26,6.99,9.11,56.61,0.38,0.27,0.03,0.06,121.36,45.97,170.49,1.15
0,45,583.99,38.53,46.06,3.9,1.95,8.05,0.2,4.97,2.72,0.09,0.05,6.13,0,33.6,13.91,1.31,1.39,0.27,0.28,601.08,86.34,362.18,0.45
